,time,pressure,topside_temp,topside_temp_ADC,underside_temp,underside_temp_ADC,temp_ref,par,fluor,tilt,TTS,GPSLat,GPSLon,GPSDate,GPSTime,TTF,Max_Tilt,datetime,id,dep_lat,dep_lon
1,1551544261.0,0.02777099609375,1.1069640641849787,26217,1.1407616106204728,26201,8504,215.72216438356165,0,24,,,,,,,,2019-03-02 16:31:01,300434063925210,59.89135,171.2518166667
2,1551547861.0,0.02777099609375,0.9947682906281443,26366,1.1309519142001818,26214,8504,189.70843835616438,0,18,,,,,,,,2019-03-02 17:31:01,300434063925210,59.89135,171.2518166667
3,1551551461.0,0.0262451171875,1.03309109882872,26315,1.1324607444387311,26212,8504,216.94246575342464,0,12,,,,,,,,2019-03-02 18:31:01,300434063925210,59.89135,171.2518166667
4,1551555061.0,0.025634765625,0.9198649307548976,26466,1.1286889099831114,26217,8504,169.97054794520548,0,5,,,,,,,,2019-03-02 19:31:01,300434063925210,59.89135,171.2518166667
5,1551558661.0,0.0244140625,0.8982019823021687,26495,1.123409691768586,26224,8503,113.89479452054793,0,20,,,,,,,,2019-03-02 20:31:01,300434063925210,59.89135,171.2518166667
6,1551562261.0,0.025634765625,0.9647689889382036,26406,1.117378227086931,26232,8503,105.91441095890411,0,18,,,,,,,,2019-03-02 21:31:01,300434063925210,59.89135,171.2518166667
7,1551565861.0,0.0244140625,0.9041753259305665,26487,1.1211476516326684,26227,8503,105.8756712328767,0,45,,,,,,,,2019-03-02 22:31:01,300434063925210,59.89135,171.2518166667
8,1551569461.0,0.0244140625,0.8326276507881971,26583,1.1241637693976259,26223,8503,105.8756712328767,0,9,,,,,,,,2019-03-02 23:31:01,300434063925210,59.89135,171.2518166667
9,1551573061.0,0.0244140625,0.987263709036597,26376,1.133969703310072,26210,8504,105.8756712328767,0,21,,,,,,,,2019-03-03 00:31:01,300434063925210,59.89135,171.2518166667
10,1551576661.0,0.023193359375,1.0918629634052763,26237,1.1332152077940236,26211,8503,105.8756712328767,0,13,,,,,,,,2019-03-03 01:31:01,300434063925210,59.89135,171.2518166667
11,1551580261.0,0.0225830078125,1.1213220154754708,26198,1.140006825539956,26202,8503,105.8756712328767,0,18,,,,,,,,2019-03-03 02:31:01,300434063925210,59.89135,171.2518166667
12,1551583861.0,0.0213623046875,1.0707429771940156,26265,1.1445360188785685,26196,8503,105.8756712328767,0,3,,,,,,,,2019-03-03 03:31:01,300434063925210,59.89135,171.2518166667
13,1551587461.0,0.0213623046875,1.0737585802726812,26261,1.1566195365028875,26180,8503,105.8756712328767,0,9,,,,,,,,2019-03-03 04:31:01,300434063925210,59.89135,171.2518166667
14,1551591061.0,0.02044677734375,1.079791323575364,26253,1.1694673180396649,26163,8503,105.8756712328767,0,13,,,,,,,,2019-03-03 05:31:01,300434063925210,59.89135,171.2518166667
15,1551594661.0,0.01922607421875,1.1455300996261144,26166,1.1762728614144748,26154,8504,105.8756712328767,0,14,,,,,,,,2019-03-03 06:31:01,300434063925210,59.89135,171.2518166667
16,1551598261.0,0.01861572265625,1.132665446235535,26183,1.1777855597282496,26152,8503,105.8756712328767,0,10,75.0,,,,,,,2019-03-03 07:31:01,300434063925210,59.89135,171.2518166667
17,1551600758.0,0.01861572265625,1.0556726409075168,26285,1.1823244303174079,26146,8504,105.8756712328767,0,11,,,,,,,,2019-03-03 08:12:38,300434063925210,59.89135,171.2518166667
18,1551604358.0,0.01800537109375,1.021059346387574,26331,1.1891349187155242,26137,8503,105.8756712328767,0,18,,,,,,,,2019-03-03 09:12:38,300434063925210,59.89135,171.2518166667
19,1551607958.0,0.01556396484375,1.068481610999811,26268,1.1906487164145574,26135,8504,106.32117808219178,0,28,75.0,,,,,,,2019-03-03 10:12:38,300434063925210,59.89135,171.2518166667
20,1551609390.0,0.0164794921875,1.076774695677841,26257,1.1883780683991176,26138,8503,108.25816438356163,0,14,,,,,,,,2019-03-03 10:36:30,300434063925210,59.89135,171.2518166667
21,1551612990.0,0.0146484375,1.1394749842373812,26174,1.1845943020439336,26143,8504,119.99630136986302,0,34,75.0,,,,,,,2019-03-03 11:36:30,300434063925210,59.89135,171.2518166667
22,1551615226.0,0.0152587890625,1.1281272043976287,26189,1.1785419573565719,26151,8504,129.061397260274,0,22,,,,,,,,2019-03-03 12:13:46,300434063925210,59.89135,171.2518166667
23,1551618826.0,0.0146484375,1.1167866712618775,26204,1.1551086456348116,26182,8503,147.94701369863014,0,41,,,,,,,,2019-03-03 13:13:46,300434063925210,59.89135,171.2518166667
24,1551622426.0,0.01434326171875,1.0707429771940156,26265,1.1483112321349722,26191,8503,133.59394520547946,0,9,,,,,,,,2019-03-03 14:13:46,300434063925210,59.89135,171.2518166667
